Cluster
15
0
41
28
28
28
23
33
33
41
5
21
4
22
34
31
49
15
31
21
0
20
0
38
4
32
21
7
15
23
23
34
32
43
20
43
5
18
12
37
20
37
23
18
20
30
4
10
43
47
23
33
33
43
24
34
43
15
38
26
33
37
9
31
23
38
37
22
30
19
33
40
17
22
19
20
39
29
11
30
42
22
23
11
47
47
23
30
38
24
1
0
47
48
17
11
38
23
40
0
34
13
19
43
24
26
36
14
20
21
26
34
1
47
13
34
43
47
12
15
5
38
2
0
28
37
24
4
4
49
45
0
40
0
21
0
28
45
34
49
4
18
40
43
3
22
19
43
36
7
32
23
44
49
24
41
13
19
14
26
47
34
38
43
33
20
26
38
11
46
5
40
2
11
20
20
24
43
48
41
26
38
11
23
15
8
49
2
12
14
4
0
33
11
49
40
34
20
33
47
48
11
23
22
11
37
24
39
0
37
43
21
0
33
38
49
18
33
35
12
48
0
36
38
20
32
38
32
49
5
10
25
41
34
17
12
5
20
24
1
38
42
13
0
37
41
0
17
34
9
24
30
33
0
0
31
2
45
31
6
41
20
23
41
22
49
38
13
26
28
17
9
5
6
6
20
13
33
4
30
43
37
34
37
4
37
5
1
17
1
10
41
24
5
32
24
40
30
28
40
20
32
27
15
27
11
42
25
25
23
45
12
32
7
27
47
11
41
49
21
40
24
44
21
46
40
48
37
36
5
31
5
32
34
36
48
33
27
24
18
18
22
18
37
34
34
24
28
11
47
36
6
20
40
9
21
20
20
20
49
48
34
48
38
6
24
30
11
30
12
20
20
36
46
22
46
22
36
6
20
37
40
31
11
31
48
3
48
30
16
11
1
24
38
19
49
21
13
22
48
0
37
20
34
48
22
31
21
34
3
46
34
26
6
31
27
32
20
33
34
26
36
40
21
27
11
21
49
31
6
32
30
44
20
38
5
17
20
34
6
23
36
30
19
27
32
5
48
20
37
36
48
11
20
2
46
38
32
34
22
45
24
38
36
11
36
35
1
13
21
40
20
37
34
30
5
33
28
5
21
34
11
19
46
17
40
2
5
32
34
36
38
9
14
10
28
28
44
48
24
22
47
40
38
30
49
8
28
38
22
28
21
7
21
26
20
37
27
13
38
22
40
17
34
48
40
27
20
21
1
29
37
27
30
32
11
20
36
34
21
6
31
42
4
28
37
2
11
45
39
1
22
39
21
37
38
26
8
27
20
20
24
36
48
49
8
34
26
20
21
17
10
44
37
20
7
43
47
5
32
27
49
36
33
44
22
16
40
21
26
40
34
32
15
11
48
20
22
21
14
37
48
43
43
20
44
31
38
34
15
32
18
33
27
24
21
34
38
39
17
1
48
21
24
48
20
34
47
37
24
37
15
15
26
49
20
37
36
24
24
24
22
34
24
10
21
21
27
48
13
8
33
24
19
43
34
49
11
21
34
11
15
34
32
5
33
47
2
24
34
20
36
40
11
20
32
38
29
12
40
24
21
5
5
34
11
34
24
34
21
34
34
34
17
8
17
0
8
5
2
1
47
44
22
21
1
33
24
21
36
38
37
2
32
15
36
32
22
20
25
24
40
7
43
32
9
40
36
19
13
31
13
38
36
14
9
20
12
10
38
38
19
24
19
36
20
33
34
9
41
19
38
21
37
23
26
33
33
0
48
34
33
6
48
40
37
40
34
40
24
27
18
43
22
37
48
28
34
32
26
8
13
30
7
26
20
26
40
2
48
30
33
21
39
34
43
48
34
38
21
5
1
20
20
30
0
8
8
37
45
20
35
17
24
47
10
17
21
22
38
12
28
36
36
5
15
12
20
18
34
21
36
18
34
34
21
28
21
5
32
20
28
37
20
20
21
5
48
41
43
43
11
33
26
48
34
40
43
37
13
21
17
43
31
17
34
27
22
34
32
20
21
21
1
38
27
34
10
3
36
11
37
48
26
41
5
5
34
46
24
6
30
11
22
3
11
40
48
17
2
33
48
35
33
24
24
29
24
25
4
37
22
34
34
39
15
37
28
11
48
36
45
0
44
20
12
0
24
44
12
10
28
28
11
37
20
36
15
28
21
33
38
35
0
32
4
22
45
26
32
12
33
0
21
48
20
48
40
34
38
25
2
11
26
20
8
17
1
34
21
34
34
25
20
16
40
34
8
28
22
2
46
30
40
36
45
20
30
34
15
24
18
20
5
0
7
26
40
43
33
38
43
38
26
22
41
24
10
44
33
13
28
38
33
33
31
8
20
21
7
20
20
34
11
13
37
5
12
1
5
24
26
21
15
43
23
40
22
24
48
25
38
24
20
4
36
36
43
33
19
19
16
29
5
30
20
48
22
40
49
33
32
15
1
23
23
22
34
47
36
21
45
21
12
24
26
20
34
37
21
36
38
40
10
30
19
44
38
5
7
5
34
5
41
17
47
34
21
33
20
15
0
48
22
13
22
2
11
0
22
34
15
28
26
20
21
48
34
37
11
0
36
40
33
24
27
27
11
34
44
24
37
34
34
34
21
5
11
35
34
40
24
21
26
46
33
41
21
34
20
20
34
45
25
15
3
34
22
20
39
26
43
34
18
32
27
10
24
36
23
12
34
24
2
33
1
19
4
19
43
27
1
44
22
